duration,month,hour,day_of_week,user_type
9.792516667,3,22,Thursday,Subscriber
6.632983333,3,22,Thursday,Subscriber
7.4047,3,22,Thursday,Subscriber
13.01458333,3,22,Thursday,Subscriber
17.0552,3,22,Thursday,Subscriber
11.01165,3,22,Thursday,Subscriber
30.01175,3,21,Thursday,Subscriber
3.626816667,3,21,Thursday,Subscriber
6.592133333,3,21,Thursday,Subscriber
16.91231667,3,21,Thursday,Customer
4.016983333,3,21,Thursday,Subscriber
102.9991833,3,21,Thursday,Customer
23.82913333,3,21,Thursday,Subscriber
2.4967,3,20,Thursday,Subscriber
2.3892,3,20,Thursday,Subscriber
9.66725,3,20,Thursday,Customer
4.998016667,3,20,Thursday,Subscriber
3.782916667,3,20,Thursday,Subscriber
19.57403333,3,20,Thursday,Subscriber
7.23625,3,20,Thursday,Subscriber
37.01566667,3,20,Thursday,Subscriber
6.354783333,3,19,Thursday,Subscriber
5.219233333,3,19,Thursday,Subscriber
12.37893333,3,19,Thursday,Subscriber
12.8984,3,19,Thursday,Customer
6.354483333,3,19,Thursday,Subscriber
20.2723,3,19,Thursday,Subscriber
5.163,3,19,Thursday,Subscriber
25.30163333,3,19,Thursday,Customer
12.02248333,3,19,Thursday,Subscriber
36.01563333,3,18,Thursday,Customer
14.83483333,3,18,Thursday,Subscriber
17.08853333,3,18,Thursday,Subscriber
91.16705,3,18,Thursday,Subscriber
5.482283333,3,18,Thursday,Subscriber
8.1566,3,18,Thursday,Subscriber
7.15755,3,18,Thursday,Subscriber
5.2372,3,18,Thursday,Subscriber
17.66731667,3,18,Thursday,Subscriber
13.23413333,3,18,Thursday,Customer
18.49833333,3,18,Thursday,Subscriber
23.23173333,3,18,Thursday,Subscriber
13.9926,3,18,Thursday,Subscriber
12.96275,3,18,Thursday,Subscriber
12.16481667,3,18,Thursday,Subscriber
17.84678333,3,18,Thursday,Subscriber
19.7929,3,18,Thursday,Subscriber
7.606016667,3,18,Thursday,Subscriber
12.43938333,3,18,Thursday,Subscriber
3.610933333,3,18,Thursday,Subscriber
15.77881667,3,17,Thursday,Subscriber
23.06661667,3,17,Thursday,Customer
20.3752,3,17,Thursday,Subscriber
10.41451667,3,17,Thursday,Subscriber
14.76045,3,17,Thursday,Subscriber
13.5493,3,17,Thursday,Subscriber
20.33485,3,17,Thursday,Subscriber
24.52318333,3,17,Thursday,Subscriber
46.15393333,3,17,Thursday,Customer
13.70578333,3,17,Thursday,Subscriber
6.2716,3,17,Thursday,Subscriber
19.30976667,3,17,Thursday,Subscriber
5.753666667,3,17,Thursday,Subscriber
8.793583333,3,17,Thursday,Subscriber
19.9632,3,17,Thursday,Subscriber
22.83676667,3,17,Thursday,Subscriber
5.956766667,3,17,Thursday,Subscriber
12.69348333,3,17,Thursday,Subscriber
5.083333333,3,17,Thursday,Subscriber
12.69351667,3,17,Thursday,Subscriber
14.6523,3,17,Thursday,Subscriber
12.65603333,3,17,Thursday,Subscriber
5.311683333,3,17,Thursday,Subscriber
8.783816667,3,17,Thursday,Subscriber
12.2459,3,17,Thursday,Subscriber
9.551566667,3,16,Thursday,Subscriber
17.04178333,3,16,Thursday,Customer
27.23763333,3,16,Thursday,Customer
1.214166667,3,16,Thursday,Subscriber
12.43733333,3,16,Thursday,Subscriber
13.62513333,3,16,Thursday,Subscriber
5.651533333,3,16,Thursday,Subscriber
10.70823333,3,16,Thursday,Subscriber
8.116366667,3,16,Thursday,Subscriber
28.08685,3,16,Thursday,Subscriber
5.917133333,3,16,Thursday,Subscriber
31.0032,3,16,Thursday,Customer
11.33913333,3,16,Thursday,Customer
7.241833333,3,16,Thursday,Subscriber
12.70905,3,15,Thursday,Customer
7.213016667,3,15,Thursday,Subscriber
8.330816667,3,15,Thursday,Subscriber
9.990933333,3,15,Thursday,Subscriber
6.24825,3,15,Thursday,Subscriber
9.379233333,3,15,Thursday,Subscriber
6.252883333,3,15,Thursday,Subscriber
4.404033333,3,15,Thursday,Subscriber
51.49521667,3,15,Thursday,Customer
2.963,3,15,Thursday,Subscriber
12.58218333,3,15,Thursday,Subscriber
21.11456667,3,15,Thursday,Subscriber
74.37688333,3,14,Thursday,Customer
3.49025,3,14,Thursday,Subscriber
28.92288333,3,14,Thursday,Subscriber
5.050633333,3,14,Thursday,Subscriber
97.97805,3,14,Thursday,Subscriber
13.82066667,3,14,Thursday,Subscriber
4.5662,3,14,Thursday,Subscriber
7.097416667,3,14,Thursday,Subscriber
126.6429667,3,14,Thursday,Customer
4.61065,3,14,Thursday,Subscriber
7.688683333,3,14,Thursday,Customer
6.828516667,3,14,Thursday,Subscriber
23.74375,3,13,Thursday,Customer
15.04558333,3,13,Thursday,Subscriber
14.76598333,3,13,Thursday,Subscriber
20.63415,3,13,Thursday,Subscriber
8.79905,3,13,Thursday,Subscriber
166.2059333,3,13,Thursday,Customer
41.56935,3,13,Thursday,Customer
32.73666667,3,13,Thursday,Customer
12.25868333,3,13,Thursday,Subscriber
10.0402,3,13,Thursday,Subscriber
4.322283333,3,12,Thursday,Subscriber
7.626483333,3,12,Thursday,Subscriber
5.588883333,3,12,Thursday,Subscriber
12.7354,3,12,Thursday,Subscriber
17.53118333,3,12,Thursday,Subscriber
10.95796667,3,12,Thursday,Subscriber
170.3365,3,12,Thursday,Customer
150.7699,3,12,Thursday,Customer
8.393566667,3,12,Thursday,Customer
20.55498333,3,12,Thursday,Subscriber
20.11671667,3,12,Thursday,Subscriber
2.606883333,3,12,Thursday,Subscriber
126.58925,3,12,Thursday,Customer
21.22461667,3,12,Thursday,Subscriber
38.6929,3,12,Thursday,Customer
6.098683333,3,11,Thursday,Subscriber
24.0259,3,11,Thursday,Customer
8.820683333,3,11,Thursday,Subscriber
3.192,3,11,Thursday,Subscriber
28.67341667,3,11,Thursday,Customer
16.54266667,3,11,Thursday,Subscriber
103.9823,3,11,Thursday,Customer
16.70625,3,11,Thursday,Customer
6.014983333,3,11,Thursday,Subscriber
33.95603333,3,11,Thursday,Subscriber
2.185,3,10,Thursday,Subscriber
9.9987,3,10,Thursday,Subscriber
10.75711667,3,10,Thursday,Customer
6.7771,3,10,Thursday,Subscriber
5.95,3,10,Thursday,Subscriber
5.57985,3,10,Thursday,Subscriber
2.95375,3,10,Thursday,Subscriber
42.32101667,3,10,Thursday,Customer
6.57345,3,10,Thursday,Subscriber
20.30211667,3,10,Thursday,Subscriber
24.06371667,3,10,Thursday,Customer
30.69745,3,10,Thursday,Customer
3.591566667,3,9,Thursday,Subscriber
3.365983333,3,9,Thursday,Subscriber
13.27943333,3,9,Thursday,Customer
124.14275,3,9,Thursday,Customer
17.60998333,3,9,Thursday,Subscriber
2.585233333,3,9,Thursday,Subscriber
22.8263,3,9,Thursday,Customer
58.40316667,3,9,Thursday,Customer
3.552466667,3,9,Thursday,Subscriber
14.23691667,3,9,Thursday,Subscriber
27.71946667,3,8,Thursday,Customer
18.98478333,3,8,Thursday,Subscriber
17.83816667,3,8,Thursday,Subscriber
6.767833333,3,8,Thursday,Subscriber
16.82411667,3,8,Thursday,Customer
7.969133333,3,8,Thursday,Subscriber
25.57761667,3,8,Thursday,Subscriber
5.316916667,3,8,Thursday,Subscriber
13.90958333,3,8,Thursday,Subscriber
2.653683333,3,8,Thursday,Subscriber
9.938266667,3,8,Thursday,Subscriber
9.7919,3,8,Thursday,Subscriber
3.8214,3,8,Thursday,Subscriber
24.24376667,3,8,Thursday,Customer
16.19971667,3,8,Thursday,Subscriber
10.7989,3,8,Thursday,Subscriber
13.93766667,3,8,Thursday,Subscriber
21.82395,3,8,Thursday,Subscriber
5.133316667,3,8,Thursday,Subscriber
26.92875,3,8,Thursday,Customer
3.238083333,3,8,Thursday,Subscriber
25.5551,3,8,Thursday,Subscriber
18.62711667,3,7,Thursday,Subscriber
